courriel,nom_commerce,zone,province
support@gist-apps.com,"Zero Waste Hero","Toronto – North York et Scarborough",ON
info@prettycleanshop.com,"Pretty Clean Shop","Toronto – centre",ON
info@lemonandlavender.ca,"Lemon & Lavender","Toronto – ouest et Etobicoke",ON
customersupport@thegreenbutlers.com,"The Green Butlers","Windsor et Essex",ON
fillup@jarfulrefillery.ca,"Jarful Local Refillery","Woodstock et Oxford",ON
hello@replenishgeneralstore.com,"Replenish General Store","York – Newmarket et Aurora",ON
frecklesandporcelain@gmail.com,"Freckles and Porcelain","Montague et Est",PE
capricesdecuisine@gmail.com,"Caprices de cuisine","Avignon et Carleton",QC
info@lemarcheauxtresors.com,"Le Marché aux Trésors","Baie-Comeau et Manicouagan",QC
info@boutiquebrockart.com,"Boutique Brock-Art","Baie-des-Chaleurs",QC
horto@sogetel.net,"Horto Verdi","Beauce",QC
mick4cote@gmail.com,"La Société Secrète Distillerie","Chandler et Pabos",QC
info@boutiquecharlevoix.com,"Boutique Charlevoix","Charlevoix – La Malbaie",QC
grangedesartisans@gmail.com,"La Grange des Artisans","Drummondville",QC
info@jardinsdelaterre.org,"Les Jardins de la Terre","Granby et Haute-Yamaska",QC
ville@tadoussac.com,"Boutique de l'Artisan","Haute-Côte-Nord et Tadoussac",QC
info@coopducap.org,"Coop du Cap","Haute-Gaspésie",QC
info@justeleshautes.com,"Juste les Hautes","Hautes-Laurentides",QC
info@amandinejoliette.com,"Boutique Amandine","Joliette et Lanaudière",QC
info@fermecybele.com,"Ferme Cybèle","Kamouraska et Témiscouata",QC
info@lamaisondubleuet.com,"La Maison du Bleuet","Lac-Saint-Jean – Roberval et Saint-Félicien",QC
info@labriseverte.ca,"La Brise Verte","Laval",QC
commandes@pepiniere.ca,"Centre de jardin Brossard","Longueuil et Rive-Sud",QC
info@monquartierlevis.ca,"Boutique du Quartier","Lévis et rive sud de Québec",QC
info@domainedes15lots.com,"Boutique Domaine des 15 lots","Montréal – Est et Rivière-des-Prairies",QC
support@pureart.ca,"Pure Art Boutique","Montréal – Ouest-de-l'Île",QC
info@saputo.com,"Alexis de Portneuf","Portneuf",QC
info@museema.org,"Boutique du Musée d'art de Rouyn-Noranda","Rouyn-Noranda",QC
info@fairyza.com,"Fairyza – Produits naturels","Saguenay – La Baie et Bas-Saguenay",QC
info@boutiqueamandine.ca,"Boutique Amandine Saint-Hyacinthe","Saint-Hyacinthe",QC
info@cooparto.com,"Arto","Saint-Jean-sur-Richelieu",QC
info@labulleverte.ca,"La Bulle Verte","Saint-Jérôme et Basses-Laurentides",QC
kiosque@racinepetitsfruits.com,"Le Kiosque Racíne","Terrebonne et Repentigny",QC
info@santeenvrac.com,"Santé en Vrac","Trois-Rivières",QC
manager@wachiya.com,"Wachiya","Témiscamingue",QC
bobby00@gmail.com,"Aki – Épicerie & Boutique Écoresponsable","Val-d'Or",QC
info@fermetournesol.qc.ca,"Ferme coopérative Tourne-Sol","Valleyfield et Beauharnois",QC
info@vergerlesjardinsdemilie.ca,"Verger les Jardins d'Émilie","Vallée-du-Richelieu",QC
posthorizonbooks@gmail.com,"Post Horizon Booksellers","Moose Jaw",SK
admin01@mrinternet.ca,"Allen Sapp Gallery","North Battleford",SK
reception@mannartgallery.ca,"The Little Gift Shop (Mann Art Gallery)","Prince Albert",SK
info@thealternativesk.com,"The Alternative Refillery & Zero Waste Market","Regina",SK
crystalcoveshop@crystalcovecenter.com,"Crystal Cove","Saskatoon",SK
swiftcurrent@nutters.ca,"Nutters Everyday Naturals","Swift Current",SK
yorkton@wdm.ca,"Western Development Museum Gift Shop","Yorkton et Est",SK
info@candysfruitstand.com,"Candy's Fruit Stand","Whitehorse",YT
