campaign_id,campaign_name,send_time,message_id,subject,preview_text,from_email,audiences_included,audiences_excluded,template_id
01KJNE1QC99SGV2AT914NW9ETB,"Tirage monarques",2026-03-01T19:56:19.676797+00:00,01KJNE1QERMF3BFZRD702J0GE6,"Tirage du concours automnal 🚨🦋","+ autres nouvelles",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt,QXRzba|RQHvtY|SqQNYW|T5ujAx|TmJKc6|UXg6uz|Ue5tf6|Uk5G2T|UsbPiy|V2Y8Jh|WwacXM|XLWkcs|Xitudp|Y3Usnk|Yqksh2,WgiWDs
01KHXSSX9RMH0RWNRQ9WSEG8D2,"Vente de fin de saison 2026 (#3) follow up",2026-02-21T12:30:00+00:00,01KHXSSXCH9YP6F7XPQG8MQ4ZZ,"Fin de saison 2026 - Produits d'asclépiade","+ une petite demande",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt,QXRzba|RQHvtY|SqQNYW|T5ujAx|TmJKc6|UXg6uz|Ue5tf6|Uk5G2T|UsbPiy|V2Y8Jh|WwacXM|XLWkcs|Xitudp|Y3Usnk|Yqksh2,QQMQvy
01KHB6Q7GK7N6W4CBGV1C20AD4,"Vente de fin de saison 2026 (#2) follow up",2026-02-14T12:30:00+00:00,01KHB6Q7JP4MVKAK1SQDQA5K6X,"Fin de saison 2026 - Produits d'asclépiade","Rabais + expédition gratuite",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt,QXRzba|RQHvtY|SqQNYW|T5ujAx|TmJKc6|Tuu96k|UXg6uz|Ue5tf6|Uk5G2T|UsbPiy|V2Y8Jh|WgW7XM|WwacXM|WyfM4n|XLWkcs|Xitudp|Y3Usnk|Yqksh2,RcvszV
01KGST4S7YYJPVRSWSKVPTXJ23,"Vente de fin de saison 2026 (#2)",2026-02-07T11:30:00+00:00,01KGST4SAQ8692XGF5FW216898,"Fin de saison 2026 - Produits d'asclépiade","Rabais + expédition gratuite",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt,QXRzba|RQHvtY|SqQNYW|T5ujAx|TmJKc6|Tuu96k|UXg6uz|Ue5tf6|Uk5G2T|UsbPiy|V2Y8Jh|WgW7XM|WwacXM|XLWkcs|Xitudp|Y3Usnk|Yqksh2,WSWpRG
01KG76EFRCXGJMSJVCM43MR33X,"end of season 2026 (erratum follow-up)",2026-02-01T13:00:00+00:00,01KG76EFV45531Z1TE7SMMKTQP,"end of season - bug with the discounts","How to apply them manually",hey@lasclay.com,QXRzba|TPaYpu|TUjhzc|TmJKc6|UXg6uz|WwacXM|Y3Usnk|Yqksh2,RQHvtY|T5ujAx|Tuu96k|Ue5tf6|Uk5G2T|UsbPiy|V2Y8Jh|WgW7XM|XLWkcs|Xitudp|YfkE98,RLbbC5
01KG76BANB11D3WK21S0SXSR96,"end of season 2026 (follow-up)",2026-01-31T13:45:00+00:00,01KG76BARDQYQNGTWC2W6HKA3S,"Milkweed products end of season sale","Discounts + free shipping",hey@lasclay.com,QXRzba|TPaYpu|TUjhzc|TmJKc6|UXg6uz|WwacXM|Y3Usnk|Yqksh2,RQHvtY|T5ujAx|Tuu96k|Ue5tf6|Uk5G2T|UsbPiy|V2Y8Jh|WgW7XM|XLWkcs|Xitudp|YfkE98,UBATxW
01KG767TN1SNXH8T22DFHN3BAM,"Vente de fin de saison 2026 (erratum) (follow-up)",2026-02-01T12:15:00+00:00,01KG767TQMHG32TVG3KZ1NEHRT,"Vente fin de saison - bug avec les rabais","Comment les appliquer manuellement",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt,QXRzba|RQHvtY|T5ujAx|TmJKc6|Tuu96k|UXg6uz|Ue5tf6|Uk5G2T|UsbPiy|V2Y8Jh|WgW7XM|WwacXM|WyfM4n|XLWkcs|Xitudp|Y3Usnk|Yqksh2,WxvxC9
01KG763XHRR4X77KDEVRSHN0C9,"Vente de fin de saison 2026 (follow-up)",2026-01-31T12:30:00+00:00,01KG763XKYWYV1381SDWG1SMBV,"Vente de fin de saison 2026","Rabais + expédition gratuite",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt,QXRzba|RQHvtY|T5ujAx|TmJKc6|Tuu96k|UXg6uz|Ue5tf6|Uk5G2T|UsbPiy|V2Y8Jh|WgW7XM|WwacXM|WyfM4n|XLWkcs|Xitudp|Y3Usnk|Yqksh2,RjHDNV
01KG08ZDR4T9AKMDQJMB6AE9D8,"yellow beanies",2026-01-27T17:47:59.767850+00:00,01KG08ZDRNH7MJ896D2XHWQY7S,"Problem with the yellow toques","",hey@lasclay.com,SdbX89,Stbtct|T8qXdj|TGKgFC|VEMFYt,Ss8J4x
01KG08D41SMBX0AZDWPD9CWD3B,"tuques jaunes",2026-01-27T17:45:26.637042+00:00,01KG08D42CNMG0PEHH9Q090BR2,"Problème avec les tuques jaunes","Décision à prendre",hey@lasclay.com,SdbX89,QXRzba|TPaYpu|UXg6uz|WwacXM,RsG9VN
01KFTP9DFAENKC1GHPYJBMW6NY,"end of season 2026 (clone)",2026-01-25T13:50:44.343628+00:00,01KFTP9DHXM09TKX35PMVG8A82,"end of season - bug with the discounts","How to apply them manually",hey@lasclay.com,QXRzba|TPaYpu|TUjhzc|TmJKc6|UXg6uz|WwacXM|Y3Usnk|Yqksh2,RQHvtY|T5ujAx|Tuu96k|Ue5tf6|Uk5G2T|UsbPiy|V2Y8Jh|WgW7XM|XLWkcs|Xitudp,WpZGd2
01KFTNJD7WG88F2YKNQFX70G64,"Vente de fin de saison 2026 (erratum)",2026-01-25T13:45:00+00:00,01KFTNJDDTY5QD2G9296AYVSP5,"Vente fin de saison - bug avec les rabais","Comment les appliquer manuellement",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt,QXRzba|RQHvtY|T5ujAx|TmJKc6|Tuu96k|UXg6uz|Ue5tf6|Uk5G2T|UsbPiy|V2Y8Jh|WgW7XM|WwacXM|XLWkcs|Xitudp|Y3Usnk|Yqksh2,SgDnVm
01KFR1HH0KN36DQGDV90T7EV5S,"end of season 2026",2026-01-24T13:30:00+00:00,01KFR1HH2V01JR747G8G5MQWBM,"Milkweed products end of season sale","Discounts + free shipping",hey@lasclay.com,QXRzba|TPaYpu|TUjhzc|TmJKc6|UXg6uz|WwacXM|Y3Usnk|Yqksh2,RQHvtY|T5ujAx|Tuu96k|Ue5tf6|Uk5G2T|UsbPiy|V2Y8Jh|WgW7XM|XLWkcs|Xitudp,TdHZ7u
01KFQQCYP5VWF921DR2V6N2ZJ8,"Vente de fin de saison 2026",2026-01-24T13:00:00+00:00,01KFQQCYRMCFC3PCBZHMTDDA83,"Vente de fin de saison 2026","Rabais + expédition gratuite",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt,QXRzba|RQHvtY|T5ujAx|TmJKc6|Tuu96k|UXg6uz|Ue5tf6|Uk5G2T|UsbPiy|V2Y8Jh|WgW7XM|WwacXM|XLWkcs|Xitudp|Y3Usnk|Yqksh2,RJXp9m
01KESGP9Z1Y7N6362X5XSWDDSJ,"Suivi précommandes",2026-01-12T16:43:00.093664+00:00,01KESGPA4P07CPFWTJ3TH333ED,"Suivi de commande","Presque tout sera expédié d'ici la semaine prochaine",hey@lasclay.com,Xitudp,QXRzba|TPaYpu|TmJKc6|WwacXM|Y3Usnk|YfkE98|Yqksh2,RvE4fm
01KECBCPWCTQA13C6VVJNT7DYN,"Manteaux suivi final",2026-01-07T14:13:58.458906+00:00,01KECBCPZ066TKZQ7ZJ9YFCBGD,"Ton manteau d'asclépiade arrive très bientôt","Une question de jours",hey@lasclay.com,WVDg9M,TmJKc6|UXg6uz|WgW7XM|WwacXM|Y3Usnk,RaRBmd
01KDFY37YXYPE5T9BGVT4JCYJ5,"Boxing day",2025-12-27T13:30:00+00:00,01KDFY381KAVZE7XEJNSJ7ZJBT,"Est-ce que Lasclay fait vraiment un Boxing Day?","Hum, oui et non",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt|VTWr4w,QXRzba|RQHvtY|SJwAYE|Sg8Dpm|T5ujAx|TPaYpu|TmJKc6|Tuu96k|Uk5G2T|UpcNbQ|UvGuSH|WVDg9M|WgW7XM|WwacXM|Wzdx76|XWmzrk|Xitudp|Y3Usnk|YmRBW5|Yqksh2,U3Hhe2
01KD0DB3SJVZHEVQW9FESRFQ2H,"EN Suivi commandes",2025-12-21T12:44:34.132880+00:00,01KD0DB3W1A7RX7C1HG6B1GYCX,"Order follow-up - we're working hard!","We're doing the max to send your order before Christmas",hey@lasclay.com,UsbPiy,WVDg9M,R3RV9K
01KD0C0RED99XHTAF9DSGQGYK6,"Suivi précommandes offre cartes",2025-12-21T12:13:05.178457+00:00,01KD0C0RH19M3S2RDFRQBAXR0Q,"Comment obtenir le certificat de 25$","Merci 1000x",hey@lasclay.com,Xitudp,QXRzba|TPaYpu|TmJKc6|UsbPiy|WVDg9M|WwacXM|Y3Usnk|YfkE98|Yqksh2,Si2wqY
01KCY5EEAEQRDPZBWE7W67ZV9J,"Cartes-cadeaux",2025-12-20T15:26:09.334880+00:00,01KCY5EEB0EWE3226Y3AZWKND0,"Dernière minute pour Noël ? 🎄","Offrez-une carte-cadeau Lasclay!",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt,QXRzba|T5ujAx|TPaYpu|TUjhzc|TmJKc6|UXg6uz|UvGuSH|WX9kes|WgW7XM|WwacXM|Wzdx76|Xitudp|Y3Usnk|Yqksh2,YcPeKX
01KCY4HWHQMK7W54VJ5EJHP9ES,"Suivi précommandes",2025-12-20T15:15:03.782470+00:00,01KCY4HWMAJGBGWK9CA94NQ6TF,"Suivi de commande - on continue de travailler fort","On roule à plein régime",hey@lasclay.com,Xitudp,QXRzba|TPaYpu|TmJKc6|WVDg9M|WwacXM|Y3Usnk|YfkE98|Yqksh2,Xy8W4f
01KCQC4Y3QTJHNTK3AYYDEVSKS,"Manteaux suivi (clone)",2025-12-18T00:14:05.777282+00:00,01KCQC4Y68DMP46BKS2WYH9759,"Les manteaux sont à Québec!","L'expédition commence sous peu",hey@lasclay.com,WVDg9M,TmJKc6|UXg6uz|WwacXM|Y3Usnk,RZXeQS
01KCM37M3FH4JCASEMTS0DT3J0,"EN Manteaux suivi",2025-12-17T01:58:45.158509+00:00,01KCM37M6CDWE926E2VB4FDPVR,"The milkweed jackets are almost ready","They will be shipped within the next few days",hey@lasclay.com,UpcNbQ,T8qXdj,USdA5e
01KCKWCJTFRWDRZ4GPAGR1KHNN,"Manteaux suivi",2025-12-16T17:25:52.076590+00:00,01KCKWCJWZJH004TPBM823JNN0,"Les manteaux sont arrivés à Montréal","Nous les attendons d'un jour à l'autre",hey@lasclay.com,WVDg9M,TmJKc6|UXg6uz|WwacXM|Y3Usnk,RudAyr
01KCBQ25N3WRDP1SBPJ0ZQWEFR,"Concours automne 2025 deadline",2025-12-13T12:00:00+00:00,01KCBQ25QR0HNH26MXVC09PCAN,"Le concours automnal finit dans 2 jours! 🍂","Dernière chance de participer 🦋",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt|VTWr4w,QXRzba|RQHvtY|T5ujAx|UXg6uz|Uk5G2T|UvGuSH|WVDg9M|WgW7XM|WwacXM|WyfM4n|XWmzrk|Xitudp|YmRBW5,WgvEBH
01KC9XCGN4J2NQXTKAEB3GMS1C,"EN Clone Suivi commandes + excuses",2025-12-12T19:15:29.665808+00:00,01KC9XCGR8YDKA7V1N87A5GK91,"Order follow-up - we're working hard!","We're doing the max to send your order before Christmas",hey@lasclay.com,UsbPiy,QXRzba|TPaYpu|TmJKc6|WVDg9M|WwacXM|Y3Usnk|YfkE98|Yqksh2,Xza4sJ
01KC7H1S193XYKGE1VR883WGKW,"Clone Suivi commandes + excuses",2025-12-12T14:13:22.915627+00:00,01KC7H1S3RBY0WCQGY4NBBJBFQ,"Suivi de commande - on travaille fort!","On fait le maximum pour te livrer ta commande, on y est presque",hey@lasclay.com,Xitudp,QXRzba|TPaYpu|TmJKc6|WVDg9M|WwacXM|Y3Usnk|YfkE98|Yqksh2,SGzxcj
01KBZFQN1GV29GKPZMS23F3980,"AIDE clients QC",2025-12-08T18:04:27.187680+00:00,01KBZFQN41MM0AJEQJK2X8DYHF,"Nous avons besoin d'un coup de main 💪","Saison record chez Lasclay, on a la broue dans le toupette.",hey@lasclay.com,RDuwCz,QXRzba|REDgPd|RQHvtY|T5ujAx|TmJKc6|Tuu96k|Uk5G2T|WVDg9M|WX9kes|WgW7XM|WwacXM|Xitudp|Y3Usnk|Yqksh2,VYmALY
01KBSWTPTCCYQ6FVC00MBYZQQ5,"fin prochaine concours",2025-12-06T14:15:00+00:00,01KBSWTPX8RE0288PYZDFJH9YM,"November context ending soon 🦋 🚨","9 days left to participate",hey@lasclay.com,QXRzba|TPaYpu|TmJKc6|VTWr4w|WwacXM|Y3Usnk,REDgPd|RQHvtY|T5ujAx|T8qXdj|TGKgFC|Tuu96k|Uk5G2T|WVDg9M|WgW7XM|Xitudp,THqz3d
01KBSSGSVZ5C09XM0GNQRDC5MY,"Campaign Dec 6, 2025, 7:17 AM",2025-12-06T13:30:00+00:00,01KBSSGSWG4HRD3D3S1JC10E37,"Concours de novembre - fin bientôt 🚨","Plus que 9 jours pour participer",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt|VTWr4w,QXRzba|REDgPd|RQHvtY|T5ujAx|TmJKc6|Tuu96k|Uk5G2T|WVDg9M|WX9kes|WgW7XM|WwacXM|Xitudp|Y3Usnk|Yqksh2,TSy5M4
01KBJ9BSQX1P43WRFG6FCM3BAM,"Manteaux suivi",2025-12-03T14:25:52.187121+00:00,01KBJ9BSSWEKPDVBJNPCE1WG0M,"Suivi de ta précommande de manteau d'asclépiade","Nous avons choisi l'avion pour toutes les commandes",hey@lasclay.com,WVDg9M,TmJKc6|UXg6uz|WwacXM|Y3Usnk,YdHr82
01KBJ8Q2DGN26GMQW7DMD4BFWW,"follow-up mercredi Récolte infolettre nov",2025-12-03T14:15:00+00:00,01KBJ8Q2FHQKDCFWTZCXWADVA1,"Essayez nos produits d’asclépiade : vous pourriez gagner le voyage d’une vie 🦋","Le concours automnal de Lasclay 🍂",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt|VTWr4w,QXRzba|RQHvtY|SJwAYE|Sg8Dpm|T5ujAx|TPaYpu|TmJKc6|Uk5G2T|UpcNbQ|UvGuSH|WVDg9M|WgW7XM|WwacXM|WyfM4n|Wzdx76|XWmzrk|Xitudp|Y3Usnk|YmRBW5|Yqksh2,UBiU3W
01KBFXJHXRFA9W46WQ3J1TNAG9,"Vérification grandeur mitaines FR",2025-12-02T17:04:14.543027+00:00,01KBFXJHYAV4E498ED31QRCHPZ,"Important: avez-vous bien choisi votre grandeur de mitaines?","Les clients se trompent parfois de grandeur = retour postal 😱",hey@lasclay.com,REDgPd,QXRzba|TPaYpu|TUjhzc|TmJKc6|UXg6uz|WX9kes|WgW7XM|WwacXM|Y3Usnk|Yqksh2,WyC9gF
01KB6QTM717TJ7Z5882ZBZNRQS,"Récolte infolettre nov",2025-11-29T12:00:00+00:00,01KB6QTM93FF0BYNZXH7KK1HFX,"Essayez nos produits d’asclépiade : vous pourriez gagner le voyage d’une vie 🦋","Le concours automnal de Lasclay 🍂",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt|VTWr4w,QXRzba|RQHvtY|SJwAYE|Sg8Dpm|T5ujAx|TPaYpu|TmJKc6|Uk5G2T|UpcNbQ|UvGuSH|WVDg9M|WwacXM|Wzdx76|XWmzrk|Xitudp|Y3Usnk|YmRBW5|Yqksh2,XWzDde
