campaign_id,name,send_time,message_id,subject,preview_text,from_email,template_id
"01KABV76115NP178V6MZGFWA5B","Retard mitaines urbaines","2025-11-18T16:27:07.291650+00:00","01KABV761M16SF3R0X0VD5JQ3J","Suivi de commande - mitaines urbaines d'asclépiade","Léger retard à prévoir","hey@lasclay.com","X3yvBu"
"01KA6K7S2XAR4HCY0WDBHPBTAN","Fall contest 2025","2025-11-16T15:18:26.701734+00:00","01KA6K7S51PQKT4FBRH31YY73Z","Fall contest: new weekly discounts","Win a trip to the Monarch Butterfly Sanctuary in Mexico 🦋","hey@lasclay.com","STiDFL"
"01KA1DRDD4HJ44AE8PYAKWKF26","warmup EN traduit FR","2025-11-15T12:00:00+00:00","01KA1DRDF6SNJ0QK45WSS0VVGK","Essayez nos produits d’asclépiade: vous pourriez gagner le voyage d’une vie 🦋","Concours automnal: Nouveaux rabais de la semaine 🍁","hey@lasclay.com","XgSBDR"
"01KA1SGBP1CHPZNVM2FKHKEXSM","défricheuses","2025-11-14T18:50:23.581482+00:00","01KA1SGBPH0R3E71HWA1WRNJW0","Suivi de votre commande pour ramassage chez Les Défricheuses","Bientôt prête à ramasser","hey@lasclay.com","TFniLn"
"01K9RBQ1T4PANM6ESC0A9XHCV6","Follow-up fall contest + warmup EN","2025-11-13T07:15:00+00:00","01K9RBQ1VZ8T42XNT5HB4KE4VY","Try Milkweed Products: you could win the trip of a lifetime 🦋","Lasclay's annual Fall contest","hey@lasclay.com","VPrput"
"01K9RB86W064WYAKWN42BD1ZJ0","Follow-up jeudi Concours automne 2025 + Imparfaits","2025-11-13T11:45:00+00:00","01K9RB86YGRJNKPNA469E72ZV4","Le concours automnal bat son plein 🍂","Voyage à gagner au Sanctuaire des papillons monarques du Mexique 🦋","hey@lasclay.com","Ykdk3i"
"01K9GQJ8AGFXMMRGZCTTAWCPST","fall contest + warmup EN","2025-11-08T13:30:00+00:00","01K9GQJ8CKWPZ0ATB93QXJANK6","Try Milkweed Products: you could win the trip of a lifetime 🦋","Lasclay's annual Fall contest","hey@lasclay.com","WnKSMx"
"01K9G42RSECX50ZANA68HK7DEK","Follow-up 3 Concours automne 2025 + Imparfaits","2025-11-08T12:15:00+00:00","01K9G42RW308N141Z8ZGJ1FZR0","Le concours automnal bat son plein 🍂","Voyage à gagner au Sanctuaire des papillons monarques du Mexique 🦋","hey@lasclay.com","UkfuXG"
"01K9B5V4BP3PGMYH0DHN2S59J7","Clone Suivi précommande Acheteur #2","2025-11-05T23:33:27.355845+00:00","01K9B5V4E453AE5F42N55VW085","Suivi de ta précommande Lasclay","Avec calendrier de production","hey@lasclay.com","UHvYxy"
"01K9ADBWDM43Z3F9Z73WJ39M2R","Suivi précommande Acheteur #2","2025-11-05T16:47:18.970396+00:00","01K9ADBWFD5RVGQ37Z9WDRCYVX","Suivi de ta précommande Lasclay","Avec calendrier de production","hey@lasclay.com","RaU2cu"
"01K9AD8VT2YSN3GQQCZJFQ5257","Follow-up #2 EN Concours automne 2025 + Lancement mini-collection Asclépiade et Monarque","2025-11-05T16:24:03.444326+00:00","01K9AD8VW8PSK7TY9SPD6V0CNW","Win a trip to the Monarch Butterfly Sanctuary in Mexico 🦋","And surprise: new products! 🍂","hey@lasclay.com","UN23pq"
"01K9AD6M3JKB3N2QYMG3P3W654","Follow-up 2 Concours automne 2025 + Lancement mini-collection Asclépiade et Monarque","2025-11-05T16:22:49.106834+00:00","01K9AD6M5W3S4E3MACWKGQH0QW","Gagnez un voyage au Sanctuaire des monarques du Mexique 🦋","Et surprise: nouveaux produits ! 🍂","hey@lasclay.com","VKMmr4"
"01K8XE6FNF6QJ55MZ2FYAQ3VED","Follow-up Concours automne 2025 + Lancement mini-collection Asclépiade et Monarque","2025-11-01T12:00:00+00:00","01K8XE6FQ30PXA247M0VXSDGPA","Gagnez un voyage au Sanctuaire des monarques du Mexique 🦋","Et surprise: nouveaux produits ! 🍂","hey@lasclay.com","XWchkW"
"01K8YETKNGB4JHXZNXJM035MGB","Clone Follow-up Concours automne 2025 + Lancement mini-collection Asclépiade et Monarque","2025-11-01T13:00:00+00:00","01K8YETKQTT5845GCD937E6T1J","Win a trip to the Monarch Butterfly Sanctuary in Mexico 🦋","And surprise: new products! 🍂","hey@lasclay.com","Ti2T68"
"01K8BY8BHP3KE3QQN03SPSHWEH","Suivi manteaux oct","2025-10-25T12:00:00+00:00","01K8BY8BM0E4X1F1JFN15JYWD0","Suivi de ta commande de manteau / veste d'asclépiade","La production est démarrée et va bon train.","hey@lasclay.com","XfG5wU"
"01K84NYGT22FRFNSYE0WD7FQ1M","follow-up Fall contest 2025","2025-10-23T10:00:00+00:00","01K84NYGVYNFJJDXPW400PWR5M","Win a trip to the Monarch Butterfly Sanctuary in Mexico 🦋","Join Our Exciting Fall Contest & promotions","hey@lasclay.com","UNuVUp"
"01K84N7TF8PQCC76T8REM00QMP","follow-up Concours automne 2025","2025-10-23T13:45:00+00:00","01K84N7TH4C8KPZ0ZGWQ6ZRMKW","Gagnez un voyage au Sanctuaire des monarques du Mexique 🦋","Participez au grand concours d'automne! 🍂","hey@lasclay.com","Y7yrLD"
"01K7Y52RJB7N7BKMBWSA57D03E","Fall contest 2025","2025-10-19T13:05:30.698208+00:00","01K7Y52RMTSENMQBYEEG9PSB90","Grand contest + Fall promotions","Win a journey to the Monarch Butterfly Sanctuary in Mexico","hey@lasclay.com","Sz8JFn"
"01K7A06TW1GGD89WRQ26FSQCEW","[Follow-up] 2025 (EN) Fall headbands etc.","2025-10-18T09:00:00+00:00","01K7A06TWVN0DXX4E8GAFSB46Z","Stay warm with milkweed products!","Beanies, scarves & neckwarmers to really stay warm!","hey@lasclay.com","XXShbg"
"01K7Q0EEBHZKBJYT9V136S0MG9","Concours automne 2025","2025-10-18T11:30:00+00:00","01K7Q0EEDDEGEVBCHHR2KHTGMZ","Grand concours + promos d'automne","À gagner: voyage au Sanctuaire des monarques du Mexique","hey@lasclay.com","URE8Jf"
"01K7782BAX07V938MFYP5JHPQF","2025 (EN) Fall headbands etc.","2025-10-11T09:00:00+00:00","01K7782BFKMEJN7AH8K4K42KH8","Fall, the season of milkweed","Beanies, scarves & neckwarmers to really stay warm!","hey@lasclay.com","Yku8Rn"
"01K77620F5WQ7YZQ7E54PA0PDB","2025 (FR) Automne bandeaux etc.","2025-10-11T11:30:00+00:00","01K77620HFJQR1TPRPQCZMNF3D","L'automne, la saison de l'asclépiade","Bandeaux, cache-cous et foulards pour rester au chaud!","hey@lasclay.com","RHBTjD"
"01K5M3925D1X8KJ2PGH9RYAA86","Précommande follow-up #2 FR non-acheteur","2025-09-27T12:00:00+00:00","01K5M3926T6E01NBMVFQZNKS8C","Prévente 2025 - Un succès renouvelé","Restez au chaud avec l'asclépiade cet hiver","hey@lasclay.com","RKNst4"
"01K5J6W1DRQECVWR86YXTMZ6FT","Précommande follow-up FR non-acheteur","2025-09-20T12:00:00+00:00","01K5J6W1EYMEKJMBYAQSTF7458","Prévente 2025 - Un succès renouvelé","Restez au chaud avec l'asclépiade cet hiver","hey@lasclay.com","W3DNen"
"01K5J5762CVXJ9CTC9XCRKV9WG","Suivi manteaux","2025-09-20T12:00:00+00:00","01K5J57630W3XF9V5AJQA901W4","Suivi de ta commande de manteau / veste d'asclépiade","Ça progresse!","hey@lasclay.com","Y2ScCi"
"01K5J728616HC4CXNYWRPHX1YC","Suivi précommande Acheteur","2025-09-20T12:00:00+00:00","01K5J7286W870TXPGN0B2GBJGP","Suivi de ta précommande Lasclay","Avec calendrier de production et petites surprises!","hey@lasclay.com","TuJ7xy"
"01K4X7Q0CHJE6V54862V8W7PGP","Réchauffement #4 FR Prévente 2025","2025-09-13T11:55:00+00:00","01K4X7Q0E67EAB7TKA5WA38ANT","Grande Prévente 2025 - Produits d'asclépiade","DANS 1H! 😉","hey@lasclay.com","RnBDp9"
"01K4X85QT1JD14QGZ3SC5AGREE","Warmup #4 EN presale 2025","2025-09-13T11:55:00+00:00","01K4X85QVDZH7TGA9D9FPDMST2","Milkweed products - Fall Launch 2025","In 1 hour 😉","hey@lasclay.com","Rer8K6"
"01K4V58DY7BR4B6SK4MA7XNW1Q","Warmup #3 EN presale 2025","2025-09-11T15:15:00+00:00","01K4V58DZPESCM58H3JS0RJACR","Milkweed products - Fall Launch 2025","Saturday 9am EST 😉","hey@lasclay.com","TJHqhq"
"01K4TJR71KRRTXB925DQKJ31Z5","follow-up Réchauffement prévente 2025 #2 FR","2025-09-11T15:00:00+00:00","01K4TJR731QE1ZTM5ABRV1SXW0","Prévente automnale 2025 - Produits d'asclépiade","Informations, nouveaux produits, rabais!","hey@lasclay.com","R6Peib"
"01K4TKZYJKRWVGTTMNFWYYWJ7H","Réchauffement #3 FR Prévente 2025","2025-09-11T14:30:00+00:00","01K4TKZYKSJ4Q4R23QH571WB3C","Grande Prévente 2025 - Produits d'asclépiade","Samedi 9h00 😉","hey@lasclay.com","UbiH7p"
"01K4TK8YBQRRW3Q594W2PYJAV3","follow-up Warmup presale 2025 #2","2025-09-11T15:00:00+00:00","01K4TK8YD3J9J0BAGMNT9XSFWY","Fall 2025 Milkweed Products Presale","Exclusive info & discounts + new products","hey@lasclay.com","V9F3dU"
"01K4FBQBKCEFETQ5FZWMMRYQBJ","follow-up Warmup presale 2025 #1","2025-09-06T13:00:00+00:00","01K4FBQBMT6V2B6PYSTGC6CZHN","Fall 2025 Milkweed Products Presale","Exclusive info & discounts + new products","hey@lasclay.com","X27j5B"
"01K4FNF05Q4V5JYEEW6KKNFC8P","Réchauffement prévente 2025 #2","2025-09-06T14:15:00+00:00","01K4FNF07BDVBBN611CN88XZRT","Prévente automnale 2025 - Produits d'asclépiade","Nouvelles photos et infos!","hey@lasclay.com","WY7NDY"
"01K4FBE9EXEK73MFCS6DP4XVK6","follow-up Réchauffement prévente 2025 #1 FR","2025-09-06T11:30:00+00:00","01K4FBE9GJNYZ71N0Z7QFS84ZD","Prévente automnale 2025 - Produits d'asclépiade","Informations, nouveaux produits, rabais!","hey@lasclay.com","TVgkas"
"01K4FC5QGHFSN9C5272PXQ5WG1","Warm-up presale 2025 #2 EN","2025-09-06T13:15:00+00:00","01K4FC5QJ2ZJ2V7YRKA8739AJB","Fall 2025 Milkweed Products Presale","Exclusive info & discounts + new products","hey@lasclay.com","RyyqdF"
"01K3WBN3D075B8VP7WXC2052YV","Warmup presale 2025 #1","2025-08-30T13:00:00+00:00","01K3WBN3D6Q24DR4RCK98TY24C","Fall 2025 Milkweed Products Presale","Exclusive info & discounts + new products","hey@lasclay.com","RSSCZU"
"01K3VM1B33E37HQ7P05V9MVPTG","Réchauffement prévente 2025 #1 FR","2025-08-30T12:00:00+00:00","01K3VM1B39PY3BWSZJQTTFXH9E","Prévente automnale 2025 - Produits d'asclépiade","Informations, nouveaux produits, rabais!","hey@lasclay.com","Ykmp7m"
