ETUI-TEL	critique	Utiliser le gabarit du conteneur	Gabarit réutilisable						notes techniques
ETUI-TEL	mesure	Fermeture éclair	Spirale maille 3, non séparable		18		cm		notes techniques
COUSSIN	critique	Départ et fin du biais sous la ganse de rangement		La jonction du biais se voit					notes techniques
COUSSIN	mesure	Velcro	À sourcer		2,5		cm		notes techniques
BESACE	probleme	Fermetures éclair : couleur et glissement problématiques	Sourcer de nouvelles : spirale maille 5 à 8, non séparable, 47 cm	Retours clients et reprises					notes techniques
BESACE	critique	Vérifier la concordance des lots de tissu	Poches avant et intérieurs bleus prédécoupés dans le conteneur	Deux bleus différents sur la même pièce				chaque lot	notes techniques
FOULARD	probleme	Matelassage pas droit	Méthode à trouver	Aspect irrégulier d'une pièce à l'autre					notes techniques
SAC-COUCHAGE-18	mesure	Fermeture éclair	Spirale maille 8, non séparable, double curseur						notes techniques
SAC-COUCHAGE-0	mesure	Fermeture éclair	Spirale maille 8, non séparable, double curseur						notes techniques
MIT-PLEIN-AIR	critique	Paume : même cuir sur les deux mitaines d'une paire	Le cuir synthétique est la matière prévue pour la paume. En cas de rupture d'approvisionnement, le VRAI cuir est accepté en remplacement — ce n'est pas un défaut. Ce qui n'est jamais accepté, c'est une paire dépareillée : les deux mitaines d'une même paire portent le MÊME cuir, jamais une synthétique et une vraie. Suivre le stock en conséquence, et basculer par paires entières, pas au fil des pièces.	Une paire dont les deux paumes ne sont pas du même cuir est invendable, et le défaut ne se voit qu'une fois les deux mitaines côte à côte					direction — décision Admin QC, 24/09/2026
MANTEAU-HIVER	probleme	Ajustements selon le rapport d'amélioration	Certains points avec Grada Mode, d'autres chez BMB						notes techniques
MANTEAU-3SAISONS	probleme	Ajustements selon le rapport d'amélioration	Certains points avec Grada Mode, d'autres chez BMB						notes techniques
BANDEAU	critique	Deux modèles, même patron, assemblage différent	Torsadé (plusieurs couleurs) et sport (noir seulement)	Assemblage croisé entre les deux modèles					notes techniques
TUQUE-SPORT	cyclage	Essai porté par au moins six personnes de gabarits différents	Faire essayer une tuque du lot à au moins six personnes de gabarits différents, hommes et femmes, et dans les deux tailles (s/m et m/l). Noter pour chacune si elle couvre les oreilles, si elle serre au front, si elle remonte. Six essais ne valident pas une cote : ils attrapent une taille qui ne va à personne, ce qu'aucune mesure à plat ne montre.	« Trop petit » est déjà le premier motif de retour sur ce produit — cinq fois, et aucun contrôle ne le voyait venir	6		personnes	lot	direction — décision Admin QC, 24/09/2026
MIT-PLEIN-AIR	mesure	Gradation et tailles hors-tout conformes au patron	Mesurer les tailles hors-tout de la mitaine finie — longueur totale, largeur à la paume, longueur du pouce — et les comparer à celles DÉRIVÉES DU PATRON, taille par taille. Le patron est la référence : c'est de lui que se dérivent les cotes attendues, pas d'une mitaine prise au hasard. Vérifier aussi que l'écart d'une taille à la suivante est le même partout : une gradation qui saute est ce qui fait qu'une taille ne va à personne.	Deux « trop grand » et un « trop petit » sont déjà remontés, et rien ne compare la pièce finie au patron				lot	direction — décision Admin QC, 24/09/2026
MIT-PLEIN-AIR	cyclage	Guide des tailles validé sur des mains mesurées	Faire essayer les mitaines à des personnes DONT LA MAIN A ÉTÉ MESURÉE au préalable, au moins une par taille, et vérifier que chacune tombe bien dans la taille que le guide lui attribue. C'est le guide des tailles publié en boutique qu'on valide ici, pas la mitaine : une pièce parfaitement conforme au patron se fait quand même retourner si le guide envoie le client vers la mauvaise taille.	Un guide des tailles faux produit des retours que ni la coupe ni la couture n'expliquent				lot	direction — décision Admin QC, 24/09/2026
MIT-PLEIN-AIR	critique	Densité de couture à la jonction main/pouce : 10 points par pouce	Compter les points sur UN POUCE de la couture, au BAS DU POUCE — là où la couture qui contourne le pouce rejoint celle qui longe le bord de la main, le point où les pièces de patron se rencontrent. Il en faut au moins 10. Se mesure sur un pouce de couture, pas à l'œil. Moins de points, c'est plus de fil entre deux piqûres, donc du jeu, et la couture s'ouvre sous la traction du pouce. Quand elle cède, elle ne fait pas que bâiller : l'isolant blanc sort par l'ouverture, et c'est exactement ce que les clients photographient.	C'est la couture qui lâche le plus souvent sur ce produit — deux bris signalés, tous deux à la jonction du pouce				tout	direction — décision Admin QC, 24/09/2026
GLACIERE	critique	Quincaillerie sous charge : boucle du rabat et ajusteurs de bretelle	Sac chargé à pleine capacité : fermer le rabat roulé et claquer la boucle, puis soulever le sac PAR LA BOUCLE seule et le tenir. Ensuite mettre le sac au dos et tirer d'un coup sec sur chaque bretelle. L'ajusteur de bas de bretelle ne doit pas laisser filer la sangle, la boucle ne doit ni s'ouvrir ni craquer, et aucune pièce de plastique ne doit blanchir — le blanchiment est la fissure qui n'est pas encore ouverte.	La quincaillerie est la deuxième cause de bris du produit : 9 signalements de boucle, ajusteur ou attache cassée, et le client se retrouve avec un sac qu'il ne peut plus porter				lot	direction — décision Admin QC, 24/09/2026
SAC-LUNCH	critique	La boucle claque et tient le sac plein soulevé par la poignée	Remplir le sac, rouler le haut, emboîter la boucle jusqu'au CLIC — un emboîtement qui ne claque pas n'est pas fermé. Puis soulever le sac plein par cette boucle seule, le tenir, et le balancer doucement. La boucle ne doit pas se rouvrir, et les coutures du webbing aux DEUX extrémités ne doivent pas bouger.	La moitié des bris de ce produit sont des boucles qui ne s'enclenchent pas ou qui s'ouvrent seules ; la poignée lâche alors avec le repas dedans				lot	direction — décision Admin QC, 24/09/2026
SEMELLE-678	probleme	Flexion à l’avant-pied : plier vingt fois	Plier la semelle à l'avant-pied, là où le pied casse à chaque pas, et relâcher. Vingt fois de suite, toujours au même endroit. Puis regarder la surface argentée au pli : elle ne doit ni se fendre, ni se décoller, ni faire de plis permanents. Passer enfin la main à plat sur toute la semelle : aucune bosse, aucun creux — une bourre qui a migré se sent avant de se voir.	L'usure de la semelle est le premier bris du produit — quatre signalements — et « se replie dans la botte » et « bosse sous le pied » en sont les deux formes	20		flexions	lot	direction — décision Admin QC, 24/09/2026
CACHE-COU	critique	Compression du tube : aucune fibre ne sort	Tenir le cache-cou à deux mains et le comprimer fermement sur toute sa longueur, en le faisant tourner pour passer sur chaque couture. Regarder ensuite chaque couture à contre-jour : aucune fibre d'asclépiade ne doit apparaître. Vérifier en même temps que le tube est FERMÉ : le haut, le bas, et la couture du milieu qui retient l'isolant. Un tube ouvert quelque part laisse partir la bourre au premier lavage.	« L'asclépiade sort », « la doublure fuit », « couture du milieu absente — isolant non retenu » : c'est le motif de bris qui revient le plus sur ce produit				tout	direction — décision Admin QC, 24/09/2026
SEMELLE-9	probleme	Flexion à l’avant-pied : plier vingt fois	Plier la semelle à l'avant-pied, là où le pied casse à chaque pas, et relâcher. Vingt fois de suite, toujours au même endroit. Puis regarder la surface argentée au pli : elle ne doit ni se fendre, ni se décoller, ni faire de plis permanents. Passer enfin la main à plat sur toute la semelle : aucune bosse, aucun creux — une bourre qui a migré se sent avant de se voir.	Même construction et même surface que les petites pointures, où l'usure de la semelle est le premier bris ; une semelle plus longue plie sur un bras de levier plus grand	20		flexions	lot	direction — décision Admin QC, 24/09/2026
CACHE-COU-ENF-18M4A	critique	Compression du tube : aucune fibre ne sort	Tenir le cache-cou à deux mains et le comprimer fermement sur toute sa longueur, en le faisant tourner pour passer sur chaque couture. Regarder ensuite chaque couture à contre-jour : aucune fibre d'asclépiade ne doit apparaître. Vérifier en même temps que le tube est FERMÉ : le haut, le bas, et la couture du milieu qui retient l'isolant. Un tube ouvert quelque part laisse partir la bourre au premier lavage.	Même construction que le cache-cou adulte, dont c'est le bris le plus fréquent — et un enfant porte la pièce contre le visage				tout	direction — décision Admin QC, 24/09/2026
CACHE-COU-ENF-5A13A	critique	Compression du tube : aucune fibre ne sort	Tenir le cache-cou à deux mains et le comprimer fermement sur toute sa longueur, en le faisant tourner pour passer sur chaque couture. Regarder ensuite chaque couture à contre-jour : aucune fibre d'asclépiade ne doit apparaître. Vérifier en même temps que le tube est FERMÉ : le haut, le bas, et la couture du milieu qui retient l'isolant. Un tube ouvert quelque part laisse partir la bourre au premier lavage.	Même construction que le cache-cou adulte, dont c'est le bris le plus fréquent — et un enfant porte la pièce contre le visage				tout	direction — décision Admin QC, 24/09/2026
VESTE	critique	Fermeture éclair de la veste : tirer de part et d’autre du ruban	Fermeture fermée jusqu'en haut. Saisir le vêtement de chaque côté de la fermeture, à mi-hauteur, et tirer PERPENDICULAIREMENT à la glissière — comme si on voulait écarter les deux devants. Fermement, trois secondes, sans à-coup. Ce n'est pas la glissière qu'on éprouve, c'est la COUTURE qui tient le ruban au vêtement. Refaire en bas, au niveau du fermoir : c'est là que la traction se concentre quand on s'assoit. Aucun point ne doit s'ouvrir, le ruban ne doit pas se décoller du tissu.	Sur ce produit, presque tous les bris sont là : la couture de la fermeture éclair, pas la fermeture elle-même. Ouvrir et fermer la glissière ne l'aurait jamais montré				tout	direction — décision Admin QC, 24/09/2026
MANTEAU-3SAISONS	critique	Fermeture éclair du manteau : tirer de part et d’autre du ruban	Fermeture fermée jusqu'en haut. Saisir le vêtement de chaque côté de la fermeture, à mi-hauteur, et tirer PERPENDICULAIREMENT à la glissière — comme si on voulait écarter les deux devants. Fermement, trois secondes, sans à-coup. Ce n'est pas la glissière qu'on éprouve, c'est la COUTURE qui tient le ruban au vêtement. Refaire en bas, au niveau du fermoir : c'est là que la traction se concentre quand on s'assoit. Aucun point ne doit s'ouvrir, le ruban ne doit pas se décoller du tissu.	La couture de la fermeture a cédé sur ce produit aussi, et c'est le même montage que sur la veste				tout	direction — décision Admin QC, 24/09/2026
MANTEAU-HIVER	critique	Fermeture éclair du manteau : tirer de part et d’autre du ruban	Fermeture fermée jusqu'en haut. Saisir le vêtement de chaque côté de la fermeture, à mi-hauteur, et tirer PERPENDICULAIREMENT à la glissière — comme si on voulait écarter les deux devants. Fermement, trois secondes, sans à-coup. Ce n'est pas la glissière qu'on éprouve, c'est la COUTURE qui tient le ruban au vêtement. Refaire en bas, au niveau du fermoir : c'est là que la traction se concentre quand on s'assoit. Aucun point ne doit s'ouvrir, le ruban ne doit pas se décoller du tissu.	Même montage de fermeture que le 3 saisons et la veste, où la couture a cédé — le manteau d'hiver n'a pas encore de bris signalé, et c'est le moment de ne pas en avoir				tout	direction — décision Admin QC, 24/09/2026
FOULARD	critique	Couture longitudinale : tirer de part et d’autre	Le foulard est un long tube matelassé : toute sa longueur tient sur une couture. Saisir le tissu de chaque côté de cette couture et tirer fermement, trois secondes, puis recommencer en trois endroits — un à chaque bout, un au milieu. Regarder ensuite la couture à contre-jour : aucune fibre d'asclépiade ne doit passer.	« Couture ouverte sur la longueur » et « le collage se décolle, l'asclépiade sort » sont les deux bris de ce produit				tout	direction — décision Admin QC, 24/09/2026
BESACE	critique	Doublure à l’ouverture : tirer vers l’intérieur	Ouvrir le sac en grand. Passer la main à l'intérieur, saisir la doublure à l'ouverture et tirer vers le bas et vers l'intérieur, comme le fait un sac qu'on vide en le retournant. Faire le tour de l'ouverture. La couture qui joint la doublure au rebord ne doit ni s'ouvrir ni se détacher du corps du sac.	« Couture de la doublure à l'ouverture » est un des deux bris signalés, et il rend le sac inutilisable sans être visible fermé				tout	direction — décision Admin QC, 24/09/2026
PANTOUFLES	probleme	Dessous : frotter et plier la semelle antidérapante	Poser la pantoufle dessous vers le haut. Frotter fermement la semelle antidérapante à la main sur toute sa surface, puis la plier en deux à l'avant-pied et relâcher, dix fois. Les picots antidérapants ne doivent ni se détacher, ni s'écraser définitivement, et le tissu du dessous ne doit ni percer ni se fendre au pli.	Les deux seuls bris de ce produit sont « dessous abîmé » et « dessous troué » — c'est la seule surface qui porte le poids et qui frotte au sol	10		flexions	lot	direction — décision Admin QC, 24/09/2026
TUQUE-SPORT	critique	Isolant réparti et coutures intérieures complètes	Retourner la tuque et parcourir l'intérieur à la main et à l'œil : chaque couture doit être présente et fermée sur toute sa longueur — une couture manquante ne se voit pas de l'extérieur. Puis palper la tuque à plat, de la bordure au sommet : l'isolant doit être partout de la même épaisseur. Une zone creuse est un trou de chaleur ; un bourrelet se sent au front dès la première heure.	Les deux bris signalés sont exactement ça : « couture manquante à l'intérieur, bourrure mal répartie » et une tuque arrivée trouée				tout	direction — décision Admin QC, 24/09/2026
MANCHON	mesure	La cannette et la bouteille entrent et tiennent	Glisser une cannette standard dans le manchon : elle doit entrer sans forcer et ressortir sans tomber seule. Refaire avec une bouteille. Un manchon trop serré ne sert à rien, un manchon trop lâche ne tient pas au froid. Vérifier sur une pièce de chaque bout du lot, pas seulement sur la première.	Le seul bris signalé sur ce produit est « diamètre — la cannette n'entre pas » : le produit était invendable à la réception				lot	direction — décision Admin QC, 24/09/2026
BANDEAU	mesure	Cote du bandeau fini, sur trois pièces du lot	Mesurer le bandeau fini à plat — longueur hors tout et largeur — sur TROIS pièces prises à des moments différents du lot, pas trois pièces d'affilée. Comparer aux cotes du patron. Vérifier du même coup que la coupe suit le droit fil : un bandeau taillé de travers sort plus court une fois monté, et l'écart grandit d'une pièce à l'autre.	« Dimensions — lot produit trop petit » et « coupe — tissu mal taillé » sont deux des trois bris du produit, et huit rétroactions se partagent entre trop petit et trop grand	3		pièces	lot	direction — décision Admin QC, 24/09/2026
ETUI-TEL	probleme	Finition des bords : aucun fil, aucun bord vif	Passer le pouce sur tout le pourtour de l'étui, endroit et envers, et sur le rabat. Aucun bord vif, aucun surjet interrompu, aucun fil qui dépasse. Ouvrir et refermer le rabat cinq fois : le bord ne doit pas s'effilocher au pli. C'est une petite pièce entièrement faite de bords — c'est tout ce qu'elle a à montrer.	Les deux seuls bris signalés sont « finition », et la rétroaction est « tissu percé, déchiré ou effiloché »				tout	direction — décision Admin QC, 24/09/2026
MIT-POLAR	critique	Jonction main/pouce : 10 points par pouce	Compter les points sur UN POUCE de la couture, au BAS DU POUCE — là où la couture qui contourne le pouce rejoint celle qui longe le bord de la main, le point où les pièces de patron se rencontrent. Il en faut au moins 10. Se mesure sur un pouce de couture, pas à l'œil. Quand cette couture cède, elle ne fait pas que bâiller : l'isolant sort par l'ouverture.	Toutes les mitaines sont montées sur les mêmes quatre pièces de patron. Sur la mitaine plein air, seule à avoir des bris signalés, les DEUX sont à cette jonction — il n'y a pas de raison d'attendre que les autres en aient				tout	direction — décision Admin QC, 24/09/2026
MIT-LAINE	critique	Jonction main/pouce : 10 points par pouce	Compter les points sur UN POUCE de la couture, au BAS DU POUCE — là où la couture qui contourne le pouce rejoint celle qui longe le bord de la main, le point où les pièces de patron se rencontrent. Il en faut au moins 10. Se mesure sur un pouce de couture, pas à l'œil. Quand cette couture cède, elle ne fait pas que bâiller : l'isolant sort par l'ouverture.	Toutes les mitaines sont montées sur les mêmes quatre pièces de patron. Sur la mitaine plein air, seule à avoir des bris signalés, les DEUX sont à cette jonction — il n'y a pas de raison d'attendre que les autres en aient				tout	direction — décision Admin QC, 24/09/2026
MIT-CUIR	critique	Jonction main/pouce : 10 points par pouce	Compter les points sur UN POUCE de la couture, au BAS DU POUCE — là où la couture qui contourne le pouce rejoint celle qui longe le bord de la main, le point où les pièces de patron se rencontrent. Il en faut au moins 10. Se mesure sur un pouce de couture, pas à l'œil. Quand cette couture cède, elle ne fait pas que bâiller : l'isolant sort par l'ouverture.	Toutes les mitaines sont montées sur les mêmes quatre pièces de patron. Sur la mitaine plein air, seule à avoir des bris signalés, les DEUX sont à cette jonction — il n'y a pas de raison d'attendre que les autres en aient				tout	direction — décision Admin QC, 24/09/2026
MIT-BEBE	critique	Jonction main/pouce : 10 points par pouce	Compter les points sur UN POUCE de la couture, au BAS DU POUCE — là où la couture qui contourne le pouce rejoint celle qui longe le bord de la main, le point où les pièces de patron se rencontrent. Il en faut au moins 10. Se mesure sur un pouce de couture, pas à l'œil. Quand cette couture cède, elle ne fait pas que bâiller : l'isolant sort par l'ouverture.	Toutes les mitaines sont montées sur les mêmes quatre pièces de patron. Sur la mitaine plein air, seule à avoir des bris signalés, les DEUX sont à cette jonction — il n'y a pas de raison d'attendre que les autres en aient				tout	direction — décision Admin QC, 24/09/2026
SAC-COUCHAGE-0	critique	Fermeture éclair du sac de couchage : tirer de part et d’autre du ruban	Fermeture fermée. Saisir le tissu de chaque côté du ruban, à mi-longueur, et tirer PERPENDICULAIREMENT à la glissière, fermement, trois secondes. Refaire aux deux extrémités. Ce n'est pas la glissière qu'on éprouve, c'est la couture qui tient le ruban au sac. Sur un sac de couchage la fermeture court sur presque deux mètres : un point qui lâche quelque part ouvre le sac sur toute sa longueur, la nuit, dehors.	La couture de fermeture a cédé sur la veste et sur le manteau 3 saisons, même montage ; ici la fermeture est la plus longue du catalogue et c'est la seule chose qui ferme le sac				tout	direction — décision Admin QC, 24/09/2026
SAC-COUCHAGE-18	critique	Fermeture éclair du sac de couchage : tirer de part et d’autre du ruban	Fermeture fermée. Saisir le tissu de chaque côté du ruban, à mi-longueur, et tirer PERPENDICULAIREMENT à la glissière, fermement, trois secondes. Refaire aux deux extrémités. Ce n'est pas la glissière qu'on éprouve, c'est la couture qui tient le ruban au sac. Sur un sac de couchage la fermeture court sur presque deux mètres : un point qui lâche quelque part ouvre le sac sur toute sa longueur, la nuit, dehors.	La couture de fermeture a cédé sur la veste et sur le manteau 3 saisons, même montage ; ici la fermeture est la plus longue du catalogue et c'est la seule chose qui ferme le sac				tout	direction — décision Admin QC, 24/09/2026
CHANDAIL	critique	Fermeture du col : tirer de part et d’autre du ruban	Le chandail n'a qu'une courte fermeture au col et une au gousset de poitrine. Les fermer, puis tirer le tissu de part et d'autre du ruban, perpendiculairement, trois secondes sur chacune. Sur un tricot polaire la traction se reporte entièrement sur la couture du ruban : la maille s'étire, le ruban non.	Même montage de fermeture que la veste, où quatre bris sur cinq sont la couture du ruban et non la glissière				tout	direction — décision Admin QC, 24/09/2026
OREILLER	critique	Compression du garnissage : aucune fibre ne sort	Comprimer la pièce fermement à deux mains, en plusieurs endroits, en insistant sur les coutures. Relâcher : elle doit reprendre sa forme. Regarder ensuite chaque couture à contre-jour — aucune fibre ne doit passer. Une pièce garnie n'a qu'un seul vrai défaut : le garnissage qui sort, et il sort toujours par une couture.	Aucun bris signalé sur cet oreiller, mais c'est le bris le plus fréquent du catalogue sur les pièces garnies — le cache-cou en compte cinq formes différentes				tout	direction — décision Admin QC, 24/09/2026
OREILLER-CAMPING	critique	Compression du garnissage : aucune fibre ne sort	Comprimer la pièce fermement à deux mains, en plusieurs endroits, en insistant sur les coutures. Relâcher : elle doit reprendre sa forme. Regarder ensuite chaque couture à contre-jour — aucune fibre ne doit passer. Une pièce garnie n'a qu'un seul vrai défaut : le garnissage qui sort, et il sort toujours par une couture.	Même construction que l'oreiller de lit, et il part en camping : une fuite de garnissage loin de la maison ne se répare pas				tout	direction — décision Admin QC, 24/09/2026
COUSSIN-ANIMAL	critique	Compression du garnissage : aucune fibre ne sort	Comprimer la pièce fermement à deux mains, en plusieurs endroits, en insistant sur les coutures. Relâcher : elle doit reprendre sa forme. Regarder ensuite chaque couture à contre-jour — aucune fibre ne doit passer. Une pièce garnie n'a qu'un seul vrai défaut : le garnissage qui sort, et il sort toujours par une couture.	Même construction garnie, et la seule rétroaction du produit est « tissu percé, déchiré ou effiloché »				tout	direction — décision Admin QC, 24/09/2026
TOTE	critique	Doublure à l’ouverture : tirer vers l’intérieur	Ouvrir le sac en grand. Passer la main à l'intérieur, saisir la doublure à l'ouverture et tirer vers le bas et vers l'intérieur, comme le fait un sac qu'on vide en le retournant. Faire le tour de l'ouverture. La couture qui joint la doublure au rebord ne doit ni s'ouvrir ni se détacher.	Même construction que la besace, où « couture de la doublure à l'ouverture » est un des deux bris signalés				tout	direction — décision Admin QC, 24/09/2026
SAC-VIN	critique	La bouteille entre, et la ganse tient le sac plein	Glisser une bouteille de vin standard dans le sac : elle doit entrer sans forcer et le haut doit pouvoir se rouler par-dessus. Puis soulever le sac PLEIN par la bandoulière seule, le tenir, et le balancer doucement. Les deux points d'attache de la bandoulière ne doivent pas bouger.	Aucun bris signalé, mais c'est un sac qui porte une bouteille de verre par une seule sangle ; sur la glacière et le sac à lunch, sangles et attaches sont la première cause de bris				tout	direction — décision Admin QC, 24/09/2026
GANTS-MAGIQUES	probleme	Étirement et retour du tricot	Enfiler le gant, ouvrir la main à fond, refermer, dix fois. Retirer le gant et le poser à plat : il doit reprendre sa forme et sa longueur. Étirer ensuite le poignet côtelé au double de sa largeur et relâcher : il doit revenir. Un tricot qui ne revient pas est un gant qui tombera de la main au deuxième hiver.	Un gant tricoté n'a qu'une façon de mourir : la maille s'étire et ne revient pas, et ça ne se voit jamais sur une pièce neuve posée à plat	10		ouvertures	lot	direction — décision Admin QC, 24/09/2026
TSHIRT-BRODE	probleme	Broderie : tirer sur le motif et lire l’envers	Saisir le tissu de part et d'autre de la broderie et tirer doucement pour l'ouvrir : aucun fil ne doit se déplacer, et le tissu ne doit pas gondoler en permanence autour du motif. Retourner ensuite le t-shirt : l'envers de la broderie doit être propre, les fils arrêtés, l'entoilage bien pris et sans bord qui gratte — c'est ce côté-là qui touche la peau.	Produit neuf, aucun historique : la broderie est le seul élément qui ne soit pas du t-shirt ordinaire, donc le seul endroit où ce produit peut échouer d'une façon qui lui soit propre				tout	direction — décision Admin QC, 24/09/2026
TUQUE-VILLE	critique	Bandeau cousu tout le tour, à la bonne hauteur	L'atelier ne fait pas le tricot : il monte le bandeau dedans. Retourner la tuque et suivre la couture du bandeau sur tout son pourtour — elle ne doit s'interrompre nulle part. Vérifier que le bandeau est à la même hauteur tout autour, et qu'il n'est pas vrillé : un bandeau vrillé tire la tuque de travers et ça ne se voit qu'une fois portée.	C'est la seule opération que l'atelier exécute sur ce produit, et elle n'avait aucun contrôle ; trois rétroactions disent « trop petit », ce qu'un bandeau posé trop bas produit exactement				tout	direction — décision Admin QC, 24/09/2026	https://lh3.googleusercontent.com/d/1N6C0wS53vmqiuEd9Alk31KFbNKZ0VEqv
