# Les points généraux qui ne veulent rien dire sur un produit précis.
#
# Un point général est juste EN GÉNÉRAL. « Aucune tension aux emmanchures ni à
# l'entrejambe » est une bonne consigne pour un manteau et une absurdité pour un
# sac. Le point reste au protocole général — on l'écarte de ce produit-là.
#
# Écarter, pas supprimer : effacer le point le retirerait de TOUS les produits,
# y compris ceux où il tient la route. Il disparaît de la fiche et de la liste à
# cocher du lot, et reste retrouvable, replié, sur la fiche.
#
# Le motif est obligatoire. Dans six mois, personne ne saura si c'était un
# jugement ou un clic de trop.
#
# Le point se désigne par son TITRE, comparé sans accents ni ponctuation : un
# identifiant changerait au prochain import, pas le titre.
#
# Importer : node mrp/import_qualite.js --squelettes --hors-sujet --ecrire
#
# 23/09/2026 — les trois écarts d'origine visaient « Essai porté » (deux fois)
# et « Fermeture éclair », retirés du protocole général le même jour : pas tous
# les produits ont une fermeture éclair ni un corps à enfiler, et un protocole
# général qui suppose les deux n'est pas général. L'écart qui reste porte donc
# sur un point qui, lui, vaut partout — sauf là où il n'y a littéralement pas
# de photo à regarder.
#
# Le même jour, plus tard : la tuque de ville et les deux cache-cous enfant
# ont été écartés eux aussi, puis remis. Ils n'avaient pas de fiche Shopify au
# relevé d'août ; ils en ont une depuis. Un écart n'est bon que tant que son
# motif l'est — celui-là a tenu quelques heures.
#
# 23/09/2026, en fin de journée — le bandeau de tuque urbaine perd tout son
# protocole général. Ce n'est pas un produit : c'est le bandeau INTÉRIEUR de la
# tuque beanie (TUQUE-VILLE), cousu entre la coque et la doublure, jamais vendu
# ni vu. Ce qui s'inspecte sur un vêtement fini — l'abrasion, le lavage,
# l'étiquette, les fils apparents — s'inspecte sur la tuque montée, où ces
# points restent tous actifs. Sur la pièce seule, il ne reste que sa coupe :
# 8 x 44 cm. Décision Admin QC.
#
# 24/09/2026 — le cache-cou adulte perd toute la séquence d'abrasion. Il ne
# frotte contre rien : il se porte au cou, sans surface d'appui. Le double
# frottement éprouve une zone exposée à l'usure — paume d'une mitaine, fond d'un
# sac, assise d'un coussin — et ce produit n'en a pas. Les quatre points partent
# ensemble parce qu'ils sont une seule procédure : le lavage n'existe au
# protocole que pour révéler ce que le frottement a fait. Décision Admin QC.
#
# 24/09/2026 — le bandeau torsadé perd la séquence d'abrasion, comme le
# cache-cou. Même raison : la séquence éprouve une surface d'appui exposée à
# l'usure — paume d'une mitaine, fond d'un sac, assise d'un coussin — et un
# bandeau n'en est pas une. Décision Admin QC.
#
# 24/09/2026 — le lavage sort de vingt-trois produits d'un coup. Raison unique :
# le tissu est connu et éprouvé, donc le laver n'apprend rien. Ce n'est pas une
# intuition : les quatre inventaires de matières premières du Drive, exercices
# 2023 à 2026, montrent la viscose, le polar, le wadding, le mesh, le PVC et le
# shell Commander WP présents CHAQUE année ; le canevas de coton, l'oxford nylon
# et le polyester brossé depuis 2024.
#
# Le lavage RESTE sur huit produits, par décision explicite : les deux manteaux,
# les mitaines LAINE (MIT-LAINE), les mitaines CUIR + LAINE (MIT-CUIR — le code
# ne dit que le cuir, mais la pièce porte les deux), les mitaines bébé, les deux
# sacs de couchage et l'oreiller de camping. Trois de leurs matières — laine, cuir, toile de polyester — ne
# figurent dans AUCUN des quatre inventaires, donc rien ne permet de les dire
# éprouvées.
produit	titre	motif
CACHE-COU-ENF-5A13A	Lavage à l’eau froide, séchage au soleil	Tissu connu et éprouvé : le lavage n'apprendrait rien. Validé sur les quatre inventaires de matières premières du Drive, 2023 à 2026 — la matière y est présente chaque année. Décision Admin QC, 24/09/2026.
CHANDAIL	Lavage à l’eau froide, séchage au soleil	Tissu connu et éprouvé : le lavage n'apprendrait rien. Validé sur les quatre inventaires de matières premières du Drive, 2023 à 2026 — la matière y est présente chaque année. Décision Admin QC, 24/09/2026.
COUSSIN	Lavage à l’eau froide, séchage au soleil	Tissu connu et éprouvé : le lavage n'apprendrait rien. Validé sur les quatre inventaires de matières premières du Drive, 2023 à 2026 — la matière y est présente chaque année. Décision Admin QC, 24/09/2026.
COUSSIN-ANIMAL	Lavage à l’eau froide, séchage au soleil	Tissu connu et éprouvé : le lavage n'apprendrait rien. Validé sur les quatre inventaires de matières premières du Drive, 2023 à 2026 — la matière y est présente chaque année. Décision Admin QC, 24/09/2026.
ETUI-TEL	Lavage à l’eau froide, séchage au soleil	Tissu connu et éprouvé : le lavage n'apprendrait rien. Validé sur les quatre inventaires de matières premières du Drive, 2023 à 2026 — la matière y est présente chaque année. Décision Admin QC, 24/09/2026.
FOULARD	Lavage à l’eau froide, séchage au soleil	Tissu connu et éprouvé : le lavage n'apprendrait rien. Validé sur les quatre inventaires de matières premières du Drive, 2023 à 2026 — la matière y est présente chaque année. Décision Admin QC, 24/09/2026.
GANTS-MAGIQUES	Lavage à l’eau froide, séchage au soleil	Tissu connu et éprouvé : le lavage n'apprendrait rien. Validé sur les quatre inventaires de matières premières du Drive, 2023 à 2026 — la matière y est présente chaque année. Décision Admin QC, 24/09/2026.
GLACIERE	Lavage à l’eau froide, séchage au soleil	Tissu connu et éprouvé : le lavage n'apprendrait rien. Validé sur les quatre inventaires de matières premières du Drive, 2023 à 2026 — la matière y est présente chaque année. Décision Admin QC, 24/09/2026.
MANCHON	Lavage à l’eau froide, séchage au soleil	Tissu connu et éprouvé : le lavage n'apprendrait rien. Validé sur les quatre inventaires de matières premières du Drive, 2023 à 2026 — la matière y est présente chaque année. Décision Admin QC, 24/09/2026.
MIT-PLEIN-AIR	Lavage à l’eau froide, séchage au soleil	Tissu connu et éprouvé : le lavage n'apprendrait rien. Validé sur les quatre inventaires de matières premières du Drive, 2023 à 2026 — la matière y est présente chaque année. Décision Admin QC, 24/09/2026.
MIT-POLAR	Lavage à l’eau froide, séchage au soleil	Tissu connu et éprouvé : le lavage n'apprendrait rien. Validé sur les quatre inventaires de matières premières du Drive, 2023 à 2026 — la matière y est présente chaque année. Décision Admin QC, 24/09/2026.
OREILLER	Lavage à l’eau froide, séchage au soleil	Tissu connu et éprouvé : le lavage n'apprendrait rien. Validé sur les quatre inventaires de matières premières du Drive, 2023 à 2026 — la matière y est présente chaque année. Décision Admin QC, 24/09/2026.
PANTOUFLES	Lavage à l’eau froide, séchage au soleil	Tissu connu et éprouvé : le lavage n'apprendrait rien. Validé sur les quatre inventaires de matières premières du Drive, 2023 à 2026 — la matière y est présente chaque année. Décision Admin QC, 24/09/2026.
SAC-LUNCH	Lavage à l’eau froide, séchage au soleil	Tissu connu et éprouvé : le lavage n'apprendrait rien. Validé sur les quatre inventaires de matières premières du Drive, 2023 à 2026 — la matière y est présente chaque année. Décision Admin QC, 24/09/2026.
SAC-VIN	Lavage à l’eau froide, séchage au soleil	Tissu connu et éprouvé : le lavage n'apprendrait rien. Validé sur les quatre inventaires de matières premières du Drive, 2023 à 2026 — la matière y est présente chaque année. Décision Admin QC, 24/09/2026.
SEMELLE-678	Lavage à l’eau froide, séchage au soleil	Écarté malgré le Mylar, qui n'apparaît qu'à l'inventaire 2026 : décision explicite de l'Admin QC, 24/09/2026. C'est la seule matière neuve du catalogue, et le lavage n'est pas le contrôle qui l'éprouverait — la presse et le pourtour le font déjà.
SEMELLE-9	Lavage à l’eau froide, séchage au soleil	Écarté malgré le Mylar, qui n'apparaît qu'à l'inventaire 2026 : décision explicite de l'Admin QC, 24/09/2026. C'est la seule matière neuve du catalogue, et le lavage n'est pas le contrôle qui l'éprouverait — la presse et le pourtour le font déjà.
TOTE	Lavage à l’eau froide, séchage au soleil	Tissu connu et éprouvé : le lavage n'apprendrait rien. Validé sur les quatre inventaires de matières premières du Drive, 2023 à 2026 — la matière y est présente chaque année. Décision Admin QC, 24/09/2026.
TUQUE-SPORT	Lavage à l’eau froide, séchage au soleil	Tissu connu et éprouvé : le lavage n'apprendrait rien. Validé sur les quatre inventaires de matières premières du Drive, 2023 à 2026 — la matière y est présente chaque année. Décision Admin QC, 24/09/2026.
TUQUE-VILLE	Lavage à l’eau froide, séchage au soleil	Tissu connu et éprouvé : le lavage n'apprendrait rien. Validé sur les quatre inventaires de matières premières du Drive, 2023 à 2026 — la matière y est présente chaque année. Décision Admin QC, 24/09/2026.
VESTE	Lavage à l’eau froide, séchage au soleil	Tissu connu et éprouvé : le lavage n'apprendrait rien. Validé sur les quatre inventaires de matières premières du Drive, 2023 à 2026 — la matière y est présente chaque année. Décision Admin QC, 24/09/2026.
