# Consignes de dessin, un panneau par ligne.
#
# Ce fichier est la SUBSTANCE des planches : le style commun vit dans
# planches_ia.js, ici on décrit ce que montre chaque panneau. Une planche =
# quatre panneaux qui se suivent, comme une notice de montage.
#
# handle : la fiche Shopify dont la première photo sert de référence au modèle.
# C'est ce qui fait que le dessin montre le produit de Lasclay et pas un
# équivalent générique. Laisser vide pour un geste qui ne tient à aucun produit.
#
# Aucune consigne ne demande de texte : la planche se lit sans langue, et la
# numérotation est faite par la page, jamais par l'image.
#
# Essayer sans rien appeler :
#   node mrp/outils/planches_ia.js cachecou_bas --sec
#
planche	panneau	handle	prompt
etiquette	3	mittens	Split into two halves by a thin vertical divider. On the left half, the label's full width is caught inside the stitch line along the seam, held evenly from edge to edge, with a green check mark above. On the right half, only part of the label's width is caught and the rest hangs loose out of the seam, with a red cross above.
etiquette	4	mittens	Close view of the label in the seam. One hand pinches its free edge and tugs it away from the garment; one bold red arrow outlined in white has its tail touching that hand and points in the direction of the tug. The label stays firmly held by the stitching.
photo_boutique	1	mittens	The finished mitten lying flat on a surface, and beside it a rectangular printed photograph showing that same mitten. A single lamp above shines equally on both. No text on the print, only the pictured mitten.
photo_boutique	2	mittens	Close view of the two side by side, garment on the left and photograph on the right, their grey surfaces touching along a straight edge so the two tones can be read against each other directly.
photo_boutique	3	mittens	The outline of the printed photograph's mitten laid over the real mitten so the two silhouettes can be compared: same width, same length, same thumb angle, the outlines aligned.
photo_boutique	4	mittens	Split into two halves by a thin vertical divider. On the left half, garment and photograph showing the same tone, with a green check mark above. On the right half, the same garment noticeably paler than its photograph beside it, with a red cross above.
fermeture	1	insulated-tote-bag	The whole insulated tote bag seen from the front, standing upright, its top zipper closed. A thin bright red line is drawn along the full length of that zipper, from one end to the other. The fabric is one even flat colour with no blotches, no stains, no mottling and no stray wrinkle lines. No hands in this panel.
fermeture	2	insulated-tote-bag	Close view of the zipper running horizontally across the frame. One hand pinches the slider's pull tab and has drawn it from one end to the far end, so the zipper is open along its whole length with the two rows of teeth parted behind it. One bold red arrow outlined in white has its tail touching the hand and points along the direction of travel.
fermeture	3	insulated-tote-bag	Extreme close-up of the BASE of that zipper, where the two tapes meet at the bottom stop. A bar tack is clearly visible there: a short, dense block of stitches sewn straight across both tapes, reinforcing the end. A thin bright red ellipse is drawn around that bar tack. No hands in this panel.
fermeture	4	insulated-tote-bag	Split into two halves by a thin vertical divider. On the left half, the base of the zipper with its dense bar tack in place and the tape lying flat and taut beside it, with a green check mark above. On the right half, the same base with NO bar tack at all, the tape rippled and slack and a fold of cloth caught between the teeth, with a red cross above.
velcro	1	manteau-hiver-asclepiade-quebecoise	Close view of the END OF A SLEEVE of the black winter coat, the cuff filling the frame. On the cuff is its adjustment tab: a small rectangular flap that folds across the cuff and holds by hook-and-loop fastener. There is NO fastener strip anywhere on the front of this coat — the front closes with an exposed zipper — so show the sleeve cuff, not the front. A thin bright red ellipse is drawn around the tab. Because the coat itself is black, draw the fastener tab and its two mating faces in a clearly LIGHTER grey than the sleeve, so the tab reads distinctly against the black fabric instead of disappearing into it. No hands in this panel.
velcro	2	manteau-hiver-asclepiade-quebecoise	The same cuff, same view. One hand presses the tab down flat across the cuff, closing the fastener along its whole length so the two faces meet evenly. Because the coat itself is black, draw the fastener tab and its two mating faces in a clearly LIGHTER grey than the sleeve, so the tab reads distinctly against the black fabric instead of disappearing into it. No arrows in this panel.
velcro	3	manteau-hiver-asclepiade-quebecoise	The same cuff and the same tab. One hand now peels the tab back up from its free end at a shallow angle, and the two mating faces separate enough to show their texture: tiny dense hooks on one face, looped pile on the other. One bold red arrow outlined in white has its tail touching that hand and follows the direction of the peel. The tab resists. Because the coat itself is black, draw the fastener tab and its two mating faces in a clearly LIGHTER grey than the sleeve, so the tab reads distinctly against the black fabric instead of disappearing into it. 
velcro	4	manteau-hiver-asclepiade-quebecoise	Split into two halves by a thin vertical divider. On the left half, the cuff tab lying flat and shut, its two faces meshing evenly from end to end, with a green check mark above. On the right half, the same tab curling open by itself at one end, its face rubbed smooth and bald so nothing grips, with a red cross above. Because the coat itself is black, draw the fastener tab and its two mating faces in a clearly LIGHTER grey than the sleeve, so the tab reads distinctly against the black fabric instead of disappearing into it. 
cordlock	1	chandail-polaire-asclepiade-polar	Close view of the fleece sweater's drawstring where it leaves the garment, with a small cord lock threaded onto the cord. A thin bright red ellipse is drawn around the cord lock. The fabric is one even flat colour with no blotches, no stains, no mottling and no stray wrinkle lines. No hands in this panel.
cordlock	2	chandail-polaire-asclepiade-polar	The same close view. Two fingers squeeze the cord lock's button and the lock slides along the cord. One small bold red arrow outlined in white lies along the cord in the direction of the slide.
cordlock	3	chandail-polaire-asclepiade-polar	The same view with the button released. One hand pulls the free end of the cord; one bold red arrow outlined in white has its tail touching that hand and points along the pull. The cord lock stays exactly where it was, gripping the cord.
cordlock	4	chandail-polaire-asclepiade-polar	Split into two halves by a thin vertical divider. On the left half, the cord lock gripping the cord firmly with the cord taut through it, and a green check mark above. On the right half, the same cord lock sliding loose down the slack cord, and a red cross above.
mitaine_pouce	1	mittens	The mitten is black soft-shell fabric with a smooth synthetic-leather panel over the PALM ONLY. That panel covers the palm of the hand and stops dead at the curved seam where the thumb is set into the body; it never crosses that seam. The thumb is made of two faces divided by a seam running along its length, and BOTH of them — the outer face and the inner face that looks toward the palm — are the same matte black soft-shell as the back of the mitten. Nowhere on the thumb is there a lighter grey area, a smooth panel, a gusset in a different shade or any change of colour: the whole thumb reads as one single flat black. The cuff is a long gauntlet gathered by an elastic at the wrist. The whole mitten lying flat, palm facing the viewer, the complete glove inside the frame. A thin bright red ellipse is drawn around the junction where the thumb meets the body of the mitten. No hands in this panel.
mitaine_pouce	2	mittens	The mitten is black soft-shell fabric with a smooth synthetic-leather panel over the PALM ONLY. That panel covers the palm of the hand and stops dead at the curved seam where the thumb is set into the body; it never crosses that seam. The thumb is made of two faces divided by a seam running along its length, and BOTH of them — the outer face and the inner face that looks toward the palm — are the same matte black soft-shell as the back of the mitten. Nowhere on the thumb is there a lighter grey area, a smooth panel, a gusset in a different shade or any change of colour: the whole thumb reads as one single flat black. The cuff is a long gauntlet gathered by an elastic at the wrist. Close view of that thumb-to-hand junction filling the frame, the seam line clearly visible between the bare soft-shell thumb and the leather-panelled palm. One hand pinches the thumb and another hand pinches the body of the mitten on the other side of that seam. Both hands entirely inside the picture. No arrows in this panel.
mitaine_pouce	3	mittens	The mitten is black soft-shell fabric with a smooth synthetic-leather panel over the PALM ONLY. That panel covers the palm of the hand and stops dead at the curved seam where the thumb is set into the body; it never crosses that seam. The thumb is made of two faces divided by a seam running along its length, and BOTH of them — the outer face and the inner face that looks toward the palm — are the same matte black soft-shell as the back of the mitten. Nowhere on the thumb is there a lighter grey area, a smooth panel, a gusset in a different shade or any change of colour: the whole thumb reads as one single flat black. The cuff is a long gauntlet gathered by an elastic at the wrist. Exactly the same close view and the same two grips. The hands now pull apart across the seam. One bold red arrow outlined in white has its tail touching the hand holding the thumb and points away from the seam; a second has its tail touching the other hand and points the opposite way. The seam stays closed under the strain.
mitaine_pouce	4	mittens	The mitten is black soft-shell fabric with a smooth synthetic-leather panel over the PALM ONLY. That panel covers the palm of the hand and stops dead at the curved seam where the thumb is set into the body; it never crosses that seam. The thumb is made of two faces divided by a seam running along its length, and BOTH of them — the outer face and the inner face that looks toward the palm — are the same matte black soft-shell as the back of the mitten. Nowhere on the thumb is there a lighter grey area, a smooth panel, a gusset in a different shade or any change of colour: the whole thumb reads as one single flat black. The cuff is a long gauntlet gathered by an elastic at the wrist. Split into two halves by a thin vertical divider. On the left half, the thumb-to-hand seam closed and evenly stitched, with a green check mark above. On the right half, the very same seam pulled open with the stitching thread bridging the gap, with a red cross above.
glaciere_sangle	1	milkweed-cooler-backpack-30l	The whole cooler backpack standing upright, seen from the front. Its shoulder straps are simple flat BLACK webbing straps — plain woven strapping, not padded, not quilted, not the colour of the bag. Three thin bright red ellipses mark, on one and the same strap, its UPPER attachment point, its LOWER attachment point, and the adjustment BUCKLE it runs through. The fabric is one even flat colour with no blotches, no stains, no mottling and no stray wrinkle lines. No hands in this panel.
glaciere_sangle	2	milkweed-cooler-backpack-30l	Close view of the upper attachment point filling the frame: the flat black webbing meeting the body of the pack, held by a rectangle of dense box stitching. One hand grips the webbing just below that stitching, entirely inside the picture. No arrows in this panel.
glaciere_sangle	3	milkweed-cooler-backpack-30l	The same close view and the same grip. The hand pulls the webbing firmly downward and away from the pack. One bold red arrow outlined in white has its tail touching that hand and points straight down along the pull. The box stitching holds and the flat black webbing goes taut.
glaciere_sangle	4	milkweed-cooler-backpack-30l	Split into two halves by a thin vertical divider. On the left half, heavy-duty work: the rectangle of box stitching square and closed at every corner, and the flat black webbing gripped tight where it passes through its buckle, with a green check mark above. On the right half, the same joint failing: the box stitching torn open at one corner with the webbing lifting away, and the strap slipping loose through the buckle, with a red cross above.
semelle_bord	1	thermal-insoles#2,3,4	One insole lying flat, seen from directly above, its whole shape inside the frame: a silvery quilted top face, and a single straight line of stitching running parallel to the edge right around it — a straight stitch, never a zigzag or overlock. A thin bright red line traces that ENTIRE perimeter, all the way around from heel to toe and back, not one single spot. No hands in this panel.
semelle_bord	2	thermal-insoles#2,3,4	Close view of the side edge of that insole, seen almost edge-on and enlarged, so the edge reads as a SANDWICH of several thin layers heat-pressed flat into one another — silvery top sheet, pale insulation, dark underside — bound along its edge by a STRAIGHT STITCH — one single straight line of evenly spaced stitches running parallel to the edge, NOT a zigzag and NOT an overlock. One hand pinches the top face and another hand pinches the underside at the very same point on that edge, one on each side of the sandwich. Both hands entirely inside the picture. No arrows in this panel.
semelle_bord	3	thermal-insoles#2,3,4	Exactly the same close view and the same two grips. The hands now pull the two faces apart across the edge, straining both the pressed bond between the layers and the straight stitch line that binds them. One bold red arrow outlined in white has its tail touching the hand holding the top face and points away from the edge; a second has its tail touching the other hand and points the opposite way. The edge holds: the layers stay fused and the stitch line stays closed.
semelle_bord	4	thermal-insoles#2,3,4	Split into two halves by a thin vertical divider. On the left half, the edge in good order: the layers fused flush into one clean flat sandwich and the straight stitch line running evenly along it, with a green check mark above. On the right half, the same edge failing in both ways at once: the layers have come unstuck and gape apart between the stitches, and the straight stitch thread has pulled loose, with a red cross above.
bandeau_torsade	1	bandeau-copy#3	The twisted headband lying flat, seen from the front, the twist of the fabric clearly visible along it. A thin bright red ellipse is drawn around the seam that closes the twist. The fabric is one even flat colour with no blotches, no stains, no mottling and no stray wrinkle lines. No hands in this panel.
bandeau_torsade	2	bandeau-copy#3	Close view of that seam filling the frame, the twist running across the picture. One hand grips the band on one side of the seam and another hand grips it on the other side. Both hands entirely inside the picture. No arrows in this panel.
bandeau_torsade	3	bandeau-copy#3	Exactly the same close view and the same two grips. The hands pull apart along the length of the band. One bold red arrow outlined in white has its tail touching one hand and points away from the seam; a second has its tail touching the other hand and points the opposite way. The seam holds and the twist stays closed.
bandeau_torsade	4	bandeau-copy#3	Split into two halves by a thin vertical divider. On the left half, the seam that closes the twist neat and shut, and a green check mark above. On the right half, the same seam come open with the twist unravelling and loose thread showing, and a red cross above.
frottement	1	mittens	The mitten is black soft-shell with a smooth synthetic-leather panel over the PALM ONLY, stopping at the thumb seam; the thumb is plain soft-shell. Close view of the mitten's palm filling the frame, a thin bright red ellipse around the middle of the leather panel — the surface most exposed to abrasion. One hand presses a small folded cloth on that spot and rubs back and forth, shown by one bold red double-headed arrow lying along the rubbing. The cloth and hand are entirely inside the picture.
frottement	2	mittens	The SAME mitten now lowered by one hand into a wide shallow basin of water, ripples spreading, a single plain snowflake symbol beside the basin for cold water. Then, at the right of the same picture, the mitten lying perfectly FLAT to dry under a plain sun drawn as a circle with straight rays. Same drawing style, same background. No text, no numerals.
frottement	3	mittens	The SAME mitten, lightly sprinkled with water droplets, placed inside an open freezer compartment drawn as a simple box with frost on its inner walls and a plain snowflake inside. The mitten lies stiff on the shelf, small frost crystals on its surface. No text, no numerals.
frottement	4	mittens	Split into two halves by a thin vertical divider. The same palm zone before and after the whole sequence. On the left half a smooth even leather and fabric surface with a green check mark above. On the right half the same zone covered in small round pills of fibre with a few pulled threads standing up, and a red cross above.
elastique	1	mittens	The mitten is black soft-shell with a smooth synthetic-leather panel over the PALM ONLY, stopping at the thumb seam; the thumb is plain soft-shell. The whole mitten flat, palm up. A thin bright red ellipse marks the elastic gather at the wrist, and a second marks the level where the thumb meets the hand — the elastic must sit at that height. No hands.
elastique	2	mittens	Close view of the gathered wrist elastic. Two fingers slide flat UNDER the elastic between it and the fabric, and there is clearly room for them: the elastic is snug but not tight. Both hands inside the frame.
elastique	3	mittens	The same wrist seen from the inside of the cuff: the cut end of the elastic tape protrudes past its stitching by a very short stub, no longer than the width of a thumb. One hand holds the cuff open to show it. One bold red arrow, tail touching the hand, points at the stub.
elastique	4	mittens	Split into two halves by a thin vertical divider. On the left, the elastic caught fully inside the assembly seam along its whole width with a green check mark above. On the right, the same elastic escaping the seam at one end and hanging loose, with a red cross above.
lacet_poignet	1	mittens	The mitten is black soft-shell with a smooth synthetic-leather panel over the PALM ONLY, stopping at the thumb seam; the thumb is plain soft-shell. The whole mitten flat. A thin bright red ellipse marks where the drawcord enters the wrist channel. No hands.
lacet_poignet	2	mittens	Close view of that entry: the cord running into the channel, its stitching holding the channel closed around it. No arrows.
lacet_poignet	3	mittens	One hand pulls the free end of the cord firmly away from the cuff. One bold red arrow, tail touching that hand, follows the pull. The channel stitching holds and the cord does not come away.
lacet_poignet	4	mittens	Split into two halves by a thin vertical divider. On the left, the cord running smoothly in its channel, caught by stitching at both ends, green check mark above. On the right, the same cord pulled out of a burst channel with loose thread at the opening, red cross above.
ganse_crochets	1	etui-telephone-asclepiade	The whole phone case seen from the front, its wrist strap attached by a small metal hook at one corner. A thin bright red ellipse marks the hook and the loop it clips into. No hands.
ganse_crochets	2	etui-telephone-asclepiade	Close view of that hook: the metal clip closed through its fabric loop, the strap webbing stitched to the clip. No arrows.
ganse_crochets	3	etui-telephone-asclepiade	One hand grips the strap just below the hook and pulls it firmly away from the case. One bold red arrow, tail touching that hand, points along the pull. The hook stays shut and the stitching holds.
ganse_crochets	4	etui-telephone-asclepiade	Split into two halves by a thin vertical divider. On the left, the hook closed and its strap stitching square and intact, green check mark above. On the right, the same hook sprung open with the strap slipping free, and its stitching torn at one corner, red cross above.
presser_isolant	1	cache-cou-asclepiade	Close view of a flat fabric pocket, still open along one edge and empty, lying on a work surface. Its edges are wavy and its corners puckered. No hands.
presser_isolant	2	cache-cou-asclepiade	A domestic iron pressed flat on that empty pocket, smoothing it. Light steam rises. One hand holds the iron. The pocket edges flatten and straighten under it.
presser_isolant	3	cache-cou-asclepiade	The same pocket, now flat and square-edged, with one hand sliding a pale sheet of insulation batting inside through the open edge. One bold red arrow, tail touching that hand, points into the opening.
presser_isolant	4	cache-cou-asclepiade	Split into two halves by a thin vertical divider. On the left, a pocket pressed first: flat, straight-edged, the insulation lying evenly inside, green check mark above. On the right, a pocket filled without pressing: rippled edges, a puckered corner and the batting bunched into a lump, red cross above.
doublure_trous	1	milkweed-cooler-backpack-30l	The cooler backpack standing open, its mouth rolled down so the smooth waterproof inner lining is visible inside. A thin bright red line traces the whole inner surface. No hands.
doublure_trous	2	milkweed-cooler-backpack-30l	Two hands hold the mouth wide open and the lining is stretched taut against the light, so the whole inner wall can be read at once. No arrows.
doublure_trous	3	milkweed-cooler-backpack-30l	Close view of that stretched lining with a magnifying glass held over it, the surface enlarged inside the lens: smooth, continuous, unbroken.
doublure_trous	4	milkweed-cooler-backpack-30l	Split into two halves by a thin vertical divider. On the left, an unbroken lining with a green check mark above. On the right, the same lining with a clear puncture, a small hole with light passing through it, and a red cross above.
fibre_repartie	1	mitaines-hiver-laine-asclepiade-naturelles	A woollen mitten lying flat, seen from the front, with a thin bright red ellipse marking the base of the glove where the hand meets the cuff. No hands.
fibre_repartie	2	mitaines-hiver-laine-asclepiade-naturelles	The same mitten held flat against a light so the insulation inside shows through as an even pale field, the same density everywhere. Two hands hold it up at the edges.
fibre_repartie	3	mitaines-hiver-laine-asclepiade-naturelles	Close view of the base of the glove: the pale insulation fibre stops cleanly short of the assembly seam and no fibre pokes through it to the outside.
fibre_repartie	4	mitaines-hiver-laine-asclepiade-naturelles	Split into two halves by a thin vertical divider. On the left, insulation spread evenly across the whole mitten with none visible at the base seam, green check mark above. On the right, the same mitten with the fibre bunched into a thick lump on one side, a bare thin patch on the other, and loose fibre escaping through the base seam, red cross above.
matelassage	1	insulated-tote-bag	The quilted burgundy tote bag seen flat from the front, its quilting lines running across it. A thin bright red line is drawn along one quilting line, from edge to edge. No hands.
matelassage	2	insulated-tote-bag	One hand lays a long straight ruler along that quilting line, its edge touching the stitching for the whole length. No arrows.
matelassage	3	insulated-tote-bag	Close view along the ruler: the stitch line runs straight and parallel to it, evenly spaced stitches, no wander.
matelassage	4	insulated-tote-bag	Split into two halves by a thin vertical divider. On the left, quilting lines straight, parallel and evenly spaced, green check mark above. On the right, the same lines wandering, crossing and unevenly spaced, red cross above.
biais_sangle	1	coussin-assise-thermal-pliable	The folding seat cushion lying flat, seen from above, a fabric binding running all the way around its edge and a webbing storage strap crossing it. A thin bright red ellipse marks the point where the binding's two ends meet, under the strap. No hands.
biais_sangle	2	coussin-assise-thermal-pliable	Close view of that point: the start and the end of the binding both pass UNDER the webbing strap, so the join is hidden beneath it. One hand lifts the strap slightly to show the join. No arrows.
biais_sangle	3	coussin-assise-thermal-pliable	The hand lets the strap back down and it covers the join entirely: from outside, the binding reads as one continuous band with no visible end.
biais_sangle	4	coussin-assise-thermal-pliable	Split into two halves by a thin vertical divider. On the left, both binding ends tucked under the strap, the band continuous, green check mark above. On the right, the binding ends meeting out in the open beside the strap, raw and visible, red cross above.
boutonniere	1	cache-cou-asclepiade	The neck gaiter seen from the BACK, a small buttonhole slit near the top edge. A thin bright red ellipse marks it. No hands.
boutonniere	2	cache-cou-asclepiade	Close view of that buttonhole from the inside of the garment: a rectangle of stiffening interfacing is fused behind the fabric around the slit, its edges visible as a faint square. No arrows.
boutonniere	3	cache-cou-asclepiade	The same buttonhole from the outside: its edges are bound by dense stitching all the way round the slit, tight and even. One hand stretches the fabric on each side to show the stitching holds.
boutonniere	4	cache-cou-asclepiade	Split into two halves by a thin vertical divider. On the left, a buttonhole backed by interfacing with dense even stitching, lying flat, green check mark above. On the right, the same slit with no interfacing behind it, its edges frayed and the fabric stretched out of shape around it, red cross above.
enfants_detachable	1	cache-cou-asclepiade-enfant	A child's neck gaiter lying flat, seen from the front, with NO cord, NO cord lock and NO bead anywhere on it — a plain closed tube. A thin bright red line traces its whole outline. No hands.
enfants_detachable	2	cache-cou-asclepiade-enfant	Two hands run along the whole garment, feeling it over, checking there is nothing attached that could come away. No arrows.
enfants_detachable	3	cache-cou-asclepiade-enfant	Close view of the assembly seam: any elastic inside is caught fully within the stitching along its whole width, nothing loose, nothing that can be pulled out. One hand tugs at the seam; one bold red arrow, tail touching that hand, shows the tug. Nothing moves.
enfants_detachable	4	cache-cou-asclepiade-enfant	Split into two halves by a thin vertical divider. On the left, a plain child's gaiter with no detachable part at all, green check mark above. On the right, the same gaiter fitted with a drawcord, a cord lock and a small bead, one of them coming away in a hand, red cross above.
taches	1	mittens	The mitten is black soft-shell with a smooth synthetic-leather panel over the PALM ONLY, stopping at the thumb seam; the thumb is plain soft-shell. The whole mitten lying flat under a bright lamp, its surface evenly lit. No hands.
taches	2	mittens	Two hands turn the mitten over to show its other face under the same lamp.
taches	3	mittens	Close view of the surface with a magnifying glass held over it, the fabric enlarged inside the lens: clean, one even colour, no mark.
taches	4	mittens	Split into two halves by a thin vertical divider. On the left, a clean even surface with a green check mark above. On the right, the same surface bearing a pale dried glue smear and a darker stain, with a red cross above.
droit_fil	1	bandeau-copy#3	A dark green fabric headband lying flat, seen from the front, with thin faint lines drawn across the cloth to show the direction of its grain running along its length. No hands.
droit_fil	2	bandeau-copy#3	Two hands hold the band at each end and stretch it ALONG its length: the fabric gives and lengthens easily, the stretch running the same way as the band. Two bold red arrows, each with its tail touching a hand, point outward along the length.
droit_fil	3	bandeau-copy#3	The same band held at its two long edges and pulled ACROSS its width instead: the fabric barely gives. Two bold red arrows, each tail touching a hand, point outward across the width, and the band stays almost unchanged.
droit_fil	4	bandeau-copy#3	Split into two halves by a thin vertical divider. On the left, the band stretching easily along its length, green check mark above. On the right, an identical band cut the wrong way, refusing to stretch along its length and gaping across it instead, red cross above.
manches_egales	1	chandail-polaire-asclepiade-polar	The black fleece half-zip pullover lying flat, seen from the front, both sleeves spread out symmetrically. Thin bright red ellipses mark the opening at the end of each sleeve. No hands.
manches_egales	2	chandail-polaire-asclepiade-polar	The garment folded in half along its centre line so the two sleeves lie exactly on top of each other, their cuff openings aligned. Two hands hold the fold. No arrows.
manches_egales	3	chandail-polaire-asclepiade-polar	Close view of the two stacked cuffs: their bound edges are the same width and the two openings the same size, edge flush with edge.
manches_egales	4	chandail-polaire-asclepiade-polar	Split into two halves by a thin vertical divider. On the left, two cuffs of identical width and opening, their binding even all round, green check mark above. On the right, one cuff clearly wider than the other with its binding stretched and rippling, red cross above.
paire_identique	1	mittens	The mitten is black soft-shell with a smooth synthetic-leather panel over the PALM ONLY, stopping at the thumb seam; the thumb is plain soft-shell. Two mittens of a pair lying flat side by side, palms up, seen from above, both fully in frame. No hands.
paire_identique	2	mittens	The two mittens laid one exactly on top of the other, palm to palm, their outlines matching all round. Two hands press them together. No arrows.
paire_identique	3	mittens	Close view of the stacked pair at the cuff and at the thumb: the two edges line up flush, same length, same width, same thumb angle.
paire_identique	4	mittens	Split into two halves by a thin vertical divider. On the left, two mittens matching outline for outline, green check mark above. On the right, the same two with one noticeably longer and its thumb set at a different angle, the outlines failing to meet, red cross above.
assouplir	1	mittens	The mitten is black soft-shell with a smooth synthetic-leather panel over the PALM ONLY, stopping at the thumb seam; the thumb is plain soft-shell. The mitten lying flat, straight from assembly, its fabric stiff and its shape boxy. No hands.
assouplir	2	mittens	A hand slides INTO the mitten, wearing it, the glove taking the shape of the hand.
assouplir	3	mittens	The worn mitten closing into a fist and opening again, the fabric folding at the knuckles. One bold red double-headed arrow beside it shows the closing and opening.
assouplir	4	mittens	Split into two halves by a thin vertical divider. On the left, a mitten that has been worn: it folds softly and keeps the shape of a hand, green check mark above. On the right, the same mitten never worn: stiff, boxy, standing up on its own with a hard crease, red cross above.
coutures_interieures	1	mittens	The mitten is black soft-shell with a smooth synthetic-leather panel over the PALM ONLY, stopping at the thumb seam; the thumb is plain soft-shell. The mitten turned INSIDE OUT and lying flat, all its inner seams visible. A thin bright red line traces the whole seam path. No hands.
coutures_interieures	2	mittens	Close view of one inner seam: its raw edges are enclosed by an even overlocked finish, no fraying, no loose thread.
coutures_interieures	3	mittens	The same seam pulled slightly open by two hands to look inside it: the seam channel is clean, and no pale insulation fibre is caught between the two layers of the stitching.
coutures_interieures	4	mittens	Split into two halves by a thin vertical divider. On the left, an inner seam neatly finished and free of any fibre caught in it, green check mark above. On the right, the same seam frayed at its raw edge with pale milkweed fibre trapped in the stitching and poking through, red cross above.
curseur_genre	1	fichier:statique/planches/sources/curseur_genre-1.png	The garment is the black winter coat: an exposed front zipper down the centre with no storm flap, a hood, a small rectangular woven label on the chest, and an adjustment tab at each cuff. Follow the hand-drawn diagram for GEOMETRY ONLY — which side of the zipper tape the slider sits on. Do not mirror it. A person seen from the front, facing the viewer, wearing the coat, drawn from the waist up. The zipper runs down the centre of the coat and its slider sits on the WEARER'S RIGHT side, which is the LEFT side of the picture as we look at it. A thin bright red ellipse is drawn around the slider. No hands, no text.
